date,module,country,category_id,app_id,keyword,metric_name,metric_value,notes
2026-09-01,keyword_rank,us,,,meal planner,rank,,
2026-09-01,keyword_rank,us,,,meal planner,difficulty_score,97.8,
2026-09-01,keyword_rank,us,,,meal planner,result_count,191,
2026-09-01,keyword_rank,us,,,calorie tracker,rank,,
2026-09-01,keyword_rank,us,,,calorie tracker,difficulty_score,98.8,
2026-09-01,keyword_rank,us,,,calorie tracker,result_count,195,
2026-09-01,keyword_rank,us,,,healthy recipes,rank,,
2026-09-01,keyword_rank,us,,,healthy recipes,difficulty_score,94.5,
2026-09-01,keyword_rank,us,,,healthy recipes,result_count,178,
2026-09-01,keyword_rank,us,,,diet planner,rank,,
2026-09-01,keyword_rank,us,,,diet planner,difficulty_score,97.0,
2026-09-01,keyword_rank,us,,,diet planner,result_count,188,
2026-09-01,keyword_rank,us,,,weight loss app,rank,,
2026-09-01,keyword_rank,us,,,weight loss app,difficulty_score,97.5,
2026-09-01,keyword_rank,us,,,weight loss app,result_count,190,
2026-09-01,keyword_rank,gb,,,meal planner,rank,,
2026-09-01,keyword_rank,gb,,,meal planner,difficulty_score,98.5,
2026-09-01,keyword_rank,gb,,,meal planner,result_count,194,
2026-09-01,keyword_rank,gb,,,calorie tracker,rank,,
2026-09-01,keyword_rank,gb,,,calorie tracker,difficulty_score,99.5,
2026-09-01,keyword_rank,gb,,,calorie tracker,result_count,198,
2026-09-01,keyword_rank,gb,,,healthy recipes,rank,,
2026-09-01,keyword_rank,gb,,,healthy recipes,difficulty_score,65.7,
2026-09-01,keyword_rank,gb,,,healthy recipes,result_count,179,
2026-09-01,keyword_rank,gb,,,diet planner,rank,,
2026-09-01,keyword_rank,gb,,,diet planner,difficulty_score,96.8,
2026-09-01,keyword_rank,gb,,,diet planner,result_count,187,
2026-09-01,keyword_rank,gb,,,weight loss app,rank,,
2026-09-01,keyword_rank,gb,,,weight loss app,difficulty_score,99.0,
2026-09-01,keyword_rank,gb,,,weight loss app,result_count,196,
2026-09-01,keyword_rank,ae,,,meal planner,rank,,
2026-09-01,keyword_rank,ae,,,meal planner,difficulty_score,45.9,
2026-09-01,keyword_rank,ae,,,meal planner,result_count,181,
2026-09-01,keyword_rank,ae,,,calorie tracker,rank,,
2026-09-01,keyword_rank,ae,,,calorie tracker,difficulty_score,50.1,
2026-09-01,keyword_rank,ae,,,calorie tracker,result_count,190,
2026-09-01,keyword_rank,ae,,,healthy recipes,rank,,
2026-09-01,keyword_rank,ae,,,healthy recipes,difficulty_score,47.2,
2026-09-01,keyword_rank,ae,,,healthy recipes,result_count,181,
2026-09-01,keyword_rank,ae,,,diet planner,rank,,
2026-09-01,keyword_rank,ae,,,diet planner,difficulty_score,48.6,
2026-09-01,keyword_rank,ae,,,diet planner,result_count,186,
2026-09-01,keyword_rank,ae,,,weight loss app,rank,,
2026-09-01,keyword_rank,ae,,,weight loss app,difficulty_score,49.1,
2026-09-01,keyword_rank,ae,,,weight loss app,result_count,187,
2026-09-01,competitor_metadata,,,570060128,,rating_count,5415707,
2026-09-01,competitor_metadata,,,570060128,,average_rating,4.7238,
2026-09-01,competitor_metadata,,,570060128,,version,7.137.0,
2026-09-01,competitor_metadata,,,341232718,,rating_count,2354114,
2026-09-01,competitor_metadata,,,341232718,,average_rating,4.71247,
2026-09-01,competitor_metadata,,,341232718,,version,26.34.0,
2026-09-01,competitor_metadata,,,1079999103,,rating_count,53949,
2026-09-01,competitor_metadata,,,1079999103,,average_rating,4.81203,
2026-09-01,competitor_metadata,,,1079999103,,version,4.21.34,
2026-09-01,competitor_metadata,,,1131174924,,rating_count,80,
2026-09-01,competitor_metadata,,,1131174924,,average_rating,4.575,
2026-09-01,competitor_metadata,,,1131174924,,version,19.0,
2026-09-01,competitor_metadata,,,1145935738,,rating_count,97263,
2026-09-01,competitor_metadata,,,1145935738,,average_rating,4.77318,
2026-09-01,competitor_metadata,,,1145935738,,version,4.58.2,
2026-09-01,competitor_metadata,,,1217456898,,rating_count,432697,
2026-09-01,competitor_metadata,,,1217456898,,average_rating,4.90801,
2026-09-01,competitor_metadata,,,1217456898,,version,3.40,
2026-09-01,competitor_metadata,,,1249805978,,rating_count,11727,
2026-09-01,competitor_metadata,,,1249805978,,average_rating,4.66624,
2026-09-01,competitor_metadata,,,1249805978,,version,3.143,
2026-09-01,competitor_metadata,,,1266612768,,rating_count,21523,
2026-09-01,competitor_metadata,,,1266612768,,average_rating,4.83213,
2026-09-01,competitor_metadata,,,1266612768,,version,1.1.87,
2026-09-01,competitor_metadata,,,1348259279,,rating_count,6197,
2026-09-01,competitor_metadata,,,1348259279,,average_rating,4.56027,
2026-09-01,competitor_metadata,,,1348259279,,version,3.0.9,
2026-09-01,competitor_metadata,,,1438388363,,rating_count,146146,
2026-09-01,competitor_metadata,,,1438388363,,average_rating,4.79232,
2026-09-01,competitor_metadata,,,1438388363,,version,2.14.23,
2026-09-01,competitor_metadata,,,1445510165,,rating_count,7437,
2026-09-01,competitor_metadata,,,1445510165,,average_rating,4.88987,
2026-09-01,competitor_metadata,,,1445510165,,version,7.4.0,
2026-09-01,competitor_metadata,,,1449960712,,rating_count,5750,
2026-09-01,competitor_metadata,,,1449960712,,average_rating,4.82365,
2026-09-01,competitor_metadata,,,1449960712,,version,7.11.4,
2026-09-01,competitor_metadata,,,1460546771,,rating_count,2949,
2026-09-01,competitor_metadata,,,1460546771,,average_rating,4.71244,
2026-09-01,competitor_metadata,,,1460546771,,version,1.8.3,
2026-09-01,competitor_metadata,,,1502526521,,rating_count,2339,
2026-09-01,competitor_metadata,,,1502526521,,average_rating,4.80889,
2026-09-01,competitor_metadata,,,1502526521,,version,1.7.3,
2026-09-01,competitor_metadata,,,1539625670,,rating_count,87736,
2026-09-01,competitor_metadata,,,1539625670,,average_rating,4.79479,
2026-09-01,competitor_metadata,,,1539625670,,version,2.3.0,
2026-09-01,competitor_metadata,,,1545961260,,rating_count,24025,
2026-09-01,competitor_metadata,,,1545961260,,average_rating,4.72316,
2026-09-01,competitor_metadata,,,1545961260,,version,26.35,
2026-09-01,competitor_metadata,,,1593779280,,rating_count,282997,
2026-09-01,competitor_metadata,,,1593779280,,average_rating,4.79276,
2026-09-01,competitor_metadata,,,1593779280,,version,6.1.5,
2026-09-01,competitor_metadata,,,1612213187,,rating_count,1764,
2026-09-01,competitor_metadata,,,1612213187,,average_rating,4.85431,
2026-09-01,competitor_metadata,,,1612213187,,version,2.7.7,
2026-09-01,competitor_metadata,,,287529757,,rating_count,163787,
2026-09-01,competitor_metadata,,,287529757,,average_rating,4.80959,
2026-09-01,competitor_metadata,,,287529757,,version,10.33,
2026-09-01,competitor_metadata,,,297368629,,rating_count,774334,
2026-09-01,competitor_metadata,,,297368629,,average_rating,4.76657,
2026-09-01,competitor_metadata,,,297368629,,version,18.4.700,
2026-09-01,competitor_metadata,,,444924121,,rating_count,25902,
2026-09-01,competitor_metadata,,,444924121,,average_rating,4.76882,
2026-09-01,competitor_metadata,,,444924121,,version,13.1.0,
2026-09-01,competitor_metadata,,,532430574,,rating_count,57820,
2026-09-01,competitor_metadata,,,532430574,,average_rating,4.88819,
2026-09-01,competitor_metadata,,,532430574,,version,2026.6.2,
2026-09-01,competitor_metadata,,,533785308,,rating_count,808,
2026-09-01,competitor_metadata,,,533785308,,average_rating,4.73762,
2026-09-01,competitor_metadata,,,533785308,,version,508.4.0,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner & grocery list,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner free,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner for weight loss,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner calendar,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner & grocery list free,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner and grocery,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner & weekly menu,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner and tracker,
2026-09-01,autocomplete_hint,us,,,meal planner,base,meal planner with personalized recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,a,meal planner app,
2026-09-01,autocomplete_hint,us,,,meal planner,a,meal planner and grocery,
2026-09-01,autocomplete_hint,us,,,meal planner,a,free meal planner app,
2026-09-01,autocomplete_hint,us,,,meal planner,a,mob: meal planner and recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,a,meal planner and tracker,
2026-09-01,autocomplete_hint,us,,,meal planner,a,meal planner app.,
2026-09-01,autocomplete_hint,us,,,meal planner,a,meal planner : ai recipe,
2026-09-01,autocomplete_hint,us,,,meal planner,a,meal planner ai - lumameal,
2026-09-01,autocomplete_hint,us,,,meal planner,a,meal planner: ai weekly menu,
2026-09-01,autocomplete_hint,us,,,meal planner,a,meal planner ai : what to eat,
2026-09-01,autocomplete_hint,us,,,meal planner,b,diet & meal planner by getfit,
2026-09-01,autocomplete_hint,us,,,meal planner,b,vegan meal planner by pixicook,
2026-09-01,autocomplete_hint,us,,,meal planner,c,meal planner calendar,
2026-09-01,autocomplete_hint,us,,,meal planner,c,meal planner: cooking recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,c,meal planner - calendar & list,
2026-09-01,autocomplete_hint,us,,,meal planner,c,meal planner: calorie & diet,
2026-09-01,autocomplete_hint,us,,,meal planner,c,meal planner - calotrack,
2026-09-01,autocomplete_hint,us,,,meal planner,c,meal planner - cookyno,
2026-09-01,autocomplete_hint,us,,,meal planner,c,meal planner: chowsome,
2026-09-01,autocomplete_hint,us,,,meal planner,c,meek - meal planner & calendar,
2026-09-01,autocomplete_hint,us,,,meal planner,c,recipe meal planner - chefbook,
2026-09-01,autocomplete_hint,us,,,meal planner,c,simple meal planner & cookbook,
2026-09-01,autocomplete_hint,us,,,meal planner,d,meal planner & diet plan,
2026-09-01,autocomplete_hint,us,,,meal planner,d,meal planner – daily recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,d,ava: meal planner & diet plan,
2026-09-01,autocomplete_hint,us,,,meal planner,d,keto meal planner: diet plan,
2026-09-01,autocomplete_hint,us,,,meal planner,e,meal planner-ema,
2026-09-01,autocomplete_hint,us,,,meal planner,e,meal planner: eat smart,
2026-09-01,autocomplete_hint,us,,,meal planner,e,ai meal planner – easy dinner,
2026-09-01,autocomplete_hint,us,,,meal planner,e,ai meal planner: easy recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,e,weekly meal planner: eatzup,
2026-09-01,autocomplete_hint,us,,,meal planner,f,meal planner free,
2026-09-01,autocomplete_hint,us,,,meal planner,f,weekly meal planner free,
2026-09-01,autocomplete_hint,us,,,meal planner,f,healthy meal planner free,
2026-09-01,autocomplete_hint,us,,,meal planner,f,meal planner for weight loss,
2026-09-01,autocomplete_hint,us,,,meal planner,f,meal planner - food planner,
2026-09-01,autocomplete_hint,us,,,meal planner,f,meal planner free: for vegans,
2026-09-01,autocomplete_hint,us,,,meal planner,f,meal planner family,
2026-09-01,autocomplete_hint,us,,,meal planner,f,meal planner & food tracker,
2026-09-01,autocomplete_hint,us,,,meal planner,f,ai meal planner - food scanner,
2026-09-01,autocomplete_hint,us,,,meal planner,f,diet & meal planner: fit ai,
2026-09-01,autocomplete_hint,us,,,meal planner,g,meal planner & grocery list,
2026-09-01,autocomplete_hint,us,,,meal planner,g,meal planner & grocery list free,
2026-09-01,autocomplete_hint,us,,,meal planner,g,"fenne: meal planner, groceries",
2026-09-01,autocomplete_hint,us,,,meal planner,g,hestia: meal planner & grocery,
2026-09-01,autocomplete_hint,us,,,meal planner,g,my meal planner & grocery list,
2026-09-01,autocomplete_hint,us,,,meal planner,g,nevyo: meal planner & grocery,
2026-09-01,autocomplete_hint,us,,,meal planner,g,protein meal planner - gram,
2026-09-01,autocomplete_hint,us,,,meal planner,h,ai meal planner: home chef,
2026-09-01,autocomplete_hint,us,,,meal planner,h,chicken meal planner - henly,
2026-09-01,autocomplete_hint,us,,,meal planner,h,fitollo meal planner & health,
2026-09-01,autocomplete_hint,us,,,meal planner,i,"work out, meal planner in home",
2026-09-01,autocomplete_hint,us,,,meal planner,l,mealcart: meal planner & list,
2026-09-01,autocomplete_hint,us,,,meal planner,m,meal planner: mealplan recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,m,meal planner - menu plan,
2026-09-01,autocomplete_hint,us,,,meal planner,m,meal planner: menus & recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,m,meal planner - mealply recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,m,meal planner: mealjar,
2026-09-01,autocomplete_hint,us,,,meal planner,m,meal planner & menu - 7mealz,
2026-09-01,autocomplete_hint,us,,,meal planner,m,meal planner & macro tracker,
2026-09-01,autocomplete_hint,us,,,meal planner,m,daily meal planner - mealflow,
2026-09-01,autocomplete_hint,us,,,meal planner,m,family meal planner: mini chef,
2026-09-01,autocomplete_hint,us,,,meal planner,m,visual meal planner - mealmap,
2026-09-01,autocomplete_hint,us,,,meal planner,n,meal planner - nutriplan,
2026-09-01,autocomplete_hint,us,,,meal planner,o,meal planner - ounje,
2026-09-01,autocomplete_hint,us,,,meal planner,p,meal planner & prep - farro,
2026-09-01,autocomplete_hint,us,,,meal planner,p,meal planner - plan4meals,
2026-09-01,autocomplete_hint,us,,,meal planner,p,recipe hub: meal planner pro,
2026-09-01,autocomplete_hint,us,,,meal planner,p,shelve: meal planner & pantry,
2026-09-01,autocomplete_hint,us,,,meal planner,p,weekly meal planner – plate,
2026-09-01,autocomplete_hint,us,,,meal planner,r,tgb: meal planner & recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,r,potto: meal planner & recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,r,zest: meal planner & recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,r,meal planner & recipes | mealo,
2026-09-01,autocomplete_hint,us,,,meal planner,r,meal planner - recipe storage,
2026-09-01,autocomplete_hint,us,,,meal planner,r,plantry meal planner & recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,r,herbi: meal planner + recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,r,ai meal planner & recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,r,ai meal planner : recipe book,
2026-09-01,autocomplete_hint,us,,,meal planner,r,"appetio: meal planner, recipes",
2026-09-01,autocomplete_hint,us,,,meal planner,s,meal planner - swipe dinner,
2026-09-01,autocomplete_hint,us,,,meal planner,s,meal planner: shopping list,
2026-09-01,autocomplete_hint,us,,,meal planner,t,baby meal planner - tinyplate,
2026-09-01,autocomplete_hint,us,,,meal planner,t,recipes & meal planner: tamu,
2026-09-01,autocomplete_hint,us,,,meal planner,w,meal planner & weekly menu,
2026-09-01,autocomplete_hint,us,,,meal planner,w,meal planner with personalized recipes,
2026-09-01,autocomplete_hint,us,,,meal planner,w,meal planner - weekly planning,
2026-09-01,autocomplete_hint,us,,,meal planner,w,meal planner - weeklymeals,
2026-09-01,autocomplete_hint,us,,,meal planner,w,meal planner - weekly menus ap,
2026-09-01,autocomplete_hint,us,,,meal planner,w,ai meal planner: weekly menu,
2026-09-01,autocomplete_hint,us,,,meal planner,w,nm: ai meal planner & wellness,
2026-09-01,autocomplete_hint,us,,,calorie,base,calorie tracker,
2026-09-01,autocomplete_hint,us,,,calorie,base,calorie counter,
2026-09-01,autocomplete_hint,us,,,calorie,base,calorie tracker free,
2026-09-01,autocomplete_hint,us,,,calorie,base,calorie deficit tracker,
2026-09-01,autocomplete_hint,us,,,calorie,base,calorie cam: ai food tracker,
2026-09-01,autocomplete_hint,us,,,calorie,base,calorie care | كالوري كير,
2026-09-01,autocomplete_hint,us,,,calorie,base,calorie,
2026-09-01,autocomplete_hint,us,,,calorie,base,calorie counter free,
